"","orig.ident","nCount_RNA","nFeature_RNA","uniqueID","embryo","pos","z","x_global","y_global","x_global_affine","y_global_affine","embryo_pos","embryo_pos_z","Area","UMAP1","UMAP2","celltype_mapped_refined"
"embryo1_Pos7_cell331_z2","embryo1",95,63,"embryo1_Pos7_cell331_z2","embryo1","Pos7",2,1667.35595703125,1418.90380859375,2.32626888612392,-0.600860454507654,"embryo1_Pos7","embryo1_Pos7_2",3968,-0.0846459662405984,2.8570320761576,"Presomitic mesoderm"
"embryo1_Pos7_cell332_z2","embryo1",263,125,"embryo1_Pos7_cell332_z2","embryo1","Pos7",2,1667.55374935557,1395.79138617346,2.33264928368256,-1.34642246806536,"embryo1_Pos7","embryo1_Pos7_2",6304,-0.325423123931954,4.37409227717185,"Presomitic mesoderm"
"embryo1_Pos7_cell333_z2","embryo1",116,76,"embryo1_Pos7_cell333_z2","embryo1","Pos7",2,1667.60302893944,1410.0766681347,2.33423894767844,-0.885606920928559,"embryo1_Pos7","embryo1_Pos7_2",4896,-0.199613401859521,4.95788868786561,"Presomitic mesoderm"
"embryo1_Pos7_cell334_z2","embryo1",355,167,"embryo1_Pos7_cell334_z2","embryo1","Pos7",2,1667.61881844374,1398.33053635006,2.33474828652693,-1.26451439785247,"embryo1_Pos7","embryo1_Pos7_2",7408,0.312348432578515,4.1240181840455,"Presomitic mesoderm"
"embryo1_Pos7_cell335_z2","embryo1",228,126,"embryo1_Pos7_cell335_z2","embryo1","Pos7",2,1668.17799079349,1411.21400460514,2.3527861042607,-0.848918647688492,"embryo1_Pos7","embryo1_Pos7_2",8272,0.0762808585379251,3.28919728378771,"Presomitic mesoderm"
"embryo1_Pos7_cell336_z2","embryo1",369,145,"embryo1_Pos7_cell336_z2","embryo1","Pos7",2,1668.4662551261,1419.53830122257,2.36208495369987,-0.580392950352163,"embryo1_Pos7","embryo1_Pos7_2",13808,0.58765313725437,2.69867462990043,"Dermomyotome"
"embryo1_Pos7_cell337_z2","embryo1",227,93,"embryo1_Pos7_cell337_z2","embryo1","Pos7",2,1668.15393746085,1403.12982136954,2.35201019030458,-1.10969875206293,"embryo1_Pos7","embryo1_Pos7_2",7184,-0.200168555029006,3.70679920564599,"Presomitic mesoderm"
"embryo1_Pos7_cell338_z2","embryo1",233,116,"embryo1_Pos7_cell338_z2","embryo1","Pos7",2,1668.30762311586,1418.13290250328,2.35696779207907,-0.625728392910005,"embryo1_Pos7","embryo1_Pos7_2",7248,-0.0770589255526708,-0.425286043031358,"Dermomyotome"
"embryo1_Pos7_cell339_z2","embryo1",283,131,"embryo1_Pos7_cell339_z2","embryo1","Pos7",2,1668.60929486224,1394.68451999344,2.36669913873642,-1.38212782871121,"embryo1_Pos7","embryo1_Pos7_2",8384,-0.15346176555795,3.59310082680982,"Presomitic mesoderm"
"embryo1_Pos7_cell34_z2","embryo1",275,127,"embryo1_Pos7_cell34_z2","embryo1","Pos7",2,1647.52557056929,1405.18988985464,1.68657900025409,-1.04324492996268,"embryo1_Pos7","embryo1_Pos7_2",8032,3.77292644932722,0.368820536394505,"Gut tube"
"embryo1_Pos7_cell340_z2","embryo1",141,88,"embryo1_Pos7_cell340_z2","embryo1","Pos7",2,1668.26843203312,1409.4611839769,2.35570356360357,-0.905461248599622,"embryo1_Pos7","embryo1_Pos7_2",3344,-0.066354050658693,3.63659921302522,"Presomitic mesoderm"
"embryo1_Pos7_cell341_z2","embryo1",360,156,"embryo1_Pos7_cell341_z2","embryo1","Pos7",2,1668.47722004168,1397.14688607603,2.36243866065403,-1.30269666475674,"embryo1_Pos7","embryo1_Pos7_2",10016,-0.178272397352189,4.03196456329002,"Presomitic mesoderm"
"embryo1_Pos7_cell342_z2","embryo1",561,203,"embryo1_Pos7_cell342_z2","embryo1","Pos7",2,1668.76573242188,1398.84971679688,2.37174551162796,-1.24776664150362,"embryo1_Pos7","embryo1_Pos7_2",12400,0.282904009385694,3.64105568113468,"Presomitic mesoderm"
"embryo1_Pos7_cell343_z2","embryo1",381,135,"embryo1_Pos7_cell343_z2","embryo1","Pos7",2,1668.72928504789,1405.38425586995,2.3705697898865,-1.03697505850131,"embryo1_Pos7","embryo1_Pos7_2",11824,-0.302993668626776,3.92238815103241,"Presomitic mesoderm"
"embryo1_Pos7_cell344_z2","embryo1",305,135,"embryo1_Pos7_cell344_z2","embryo1","Pos7",2,1668.55085128083,1413.51781220595,2.36481386191679,-0.774602273469007,"embryo1_Pos7","embryo1_Pos7_2",10096,0.490431796050584,2.52971583020301,"Presomitic mesoderm"
"embryo1_Pos7_cell345_z2","embryo1",44,35,"embryo1_Pos7_cell345_z2","embryo1","Pos7",2,1668.66247558594,1421.83349609375,2.36841464595255,-0.506354406120558,"embryo1_Pos7","embryo1_Pos7_2",2048,-0.668558478996147,2.71469188696615,"Dermomyotome"
"embryo1_Pos7_cell346_z2","embryo1",206,101,"embryo1_Pos7_cell346_z2","embryo1","Pos7",2,1668.76704977691,1402.04173949928,2.3717880069516,-1.14479816723243,"embryo1_Pos7","embryo1_Pos7_2",7312,-0.242178290864098,4.02877966839045,"Presomitic mesoderm"
"embryo1_Pos7_cell347_z2","embryo1",212,94,"embryo1_Pos7_cell347_z2","embryo1","Pos7",2,1668.73534530248,1395.76088616787,2.37076528197017,-1.3474063392135,"embryo1_Pos7","embryo1_Pos7_2",7488,-0.146583845140553,3.8703982752256,"Presomitic mesoderm"
"embryo1_Pos7_cell348_z2","embryo1",235,107,"embryo1_Pos7_cell348_z2","embryo1","Pos7",2,1668.94955540707,1404.19945775082,2.37767528534399,-1.07519435266661,"embryo1_Pos7","embryo1_Pos7_2",6080,-0.113377389575544,3.94445405193416,"Presomitic mesoderm"
"embryo1_Pos7_cell349_z2","embryo1",239,128,"embryo1_Pos7_cell349_z2","embryo1","Pos7",2,1668.96899414062,1410.34164315683,2.37830234126505,-0.877059339569627,"embryo1_Pos7","embryo1_Pos7_2",5184,0.373727782476826,3.23512620028899,"Presomitic mesoderm"
"embryo1_Pos7_cell35_z2","embryo1",332,150,"embryo1_Pos7_cell35_z2","embryo1","Pos7",2,1647.86228418714,1407.65347574249,1.69744072986238,-0.96377441745166,"embryo1_Pos7","embryo1_Pos7_2",10480,3.50820535687961,0.241342910363887,"Gut tube"
"embryo1_Pos7_cell350_z2","embryo1",181,95,"embryo1_Pos7_cell350_z2","embryo1","Pos7",2,1668.97955577397,1400.08035209631,2.37864303911473,-1.20806872861855,"embryo1_Pos7","embryo1_Pos7_2",4976,-0.0721169805415317,3.30839286921097,"Presomitic mesoderm"
"embryo1_Pos7_cell351_z2","embryo1",250,123,"embryo1_Pos7_cell351_z2","embryo1","Pos7",2,1669.4597830045,1391.47616525424,2.3941342400998,-1.48562314287903,"embryo1_Pos7","embryo1_Pos7_2",7552,-0.0657746306050241,3.88670092236838,"Presomitic mesoderm"
"embryo1_Pos7_cell352_z2","embryo1",326,143,"embryo1_Pos7_cell352_z2","embryo1","Pos7",2,1669.12172388055,1415.4283229497,2.38322910706906,-0.712972894638355,"embryo1_Pos7","embryo1_Pos7_2",9776,0.125206787500882,3.27244107098034,"Presomitic mesoderm"
"embryo1_Pos7_cell353_z2","embryo1",357,139,"embryo1_Pos7_cell353_z2","embryo1","Pos7",2,1669.60541641177,1411.89791129704,2.39883209194701,-0.826857141498451,"embryo1_Pos7","embryo1_Pos7_2",12464,0.563488901246258,2.58466118448249,"Presomitic mesoderm"
"embryo1_Pos7_cell354_z2","embryo1",389,163,"embryo1_Pos7_cell354_z2","embryo1","Pos7",2,1669.41964426055,1408.96837924099,2.39283944190774,-0.921358175564478,"embryo1_Pos7","embryo1_Pos7_2",10736,0.519815783846533,2.61491084635509,"Presomitic mesoderm"
"embryo1_Pos7_cell355_z2","embryo1",244,112,"embryo1_Pos7_cell355_z2","embryo1","Pos7",2,1669.177578125,1393.11626464844,2.38503085689005,-1.43271671080806,"embryo1_Pos7","embryo1_Pos7_2",6400,-0.105573096948172,3.62754766516314,"Presomitic mesoderm"
"embryo1_Pos7_cell356_z2","embryo1",494,184,"embryo1_Pos7_cell356_z2","embryo1","Pos7",2,1669.41383044887,1406.99381723102,2.39265189959551,-0.985053724273065,"embryo1_Pos7","embryo1_Pos7_2",11632,0.545786609492553,3.27140905322057,"Presomitic mesoderm"
"embryo1_Pos7_cell357_z2","embryo1",433,170,"embryo1_Pos7_cell357_z2","embryo1","Pos7",2,1670.15810332317,1400.98679787627,2.41666070199241,-1.17882854216833,"embryo1_Pos7","embryo1_Pos7_2",12016,0.408050398387395,2.69195840710715,"Presomitic mesoderm"
"embryo1_Pos7_cell358_z2","embryo1",427,164,"embryo1_Pos7_cell358_z2","embryo1","Pos7",2,1669.61429517726,1417.02378684238,2.39911850373718,-0.661506317455064,"embryo1_Pos7","embryo1_Pos7_2",10768,0.918885057812426,2.48942212069002,"Presomitic mesoderm"
"embryo1_Pos7_cell359_z2","embryo1",157,85,"embryo1_Pos7_cell359_z2","embryo1","Pos7",2,1669.45175259785,1403.2547903709,2.39387519472379,-1.10566749395429,"embryo1_Pos7","embryo1_Pos7_2",4944,-0.252148251271445,3.92811005651488,"Presomitic mesoderm"
"embryo1_Pos7_cell36_z2","embryo1",456,188,"embryo1_Pos7_cell36_z2","embryo1","Pos7",2,1647.88089730248,1411.8051412251,1.69804115293795,-0.829849724464196,"embryo1_Pos7","embryo1_Pos7_2",13904,-4.21369176612636,-4.33100679458159,"Haematoendothelial progenitors"
"embryo1_Pos7_cell360_z2","embryo1",238,121,"embryo1_Pos7_cell360_z2","embryo1","Pos7",2,1669.83973600079,1414.22154466,2.406390788367,-0.751901226563987,"embryo1_Pos7","embryo1_Pos7_2",8592,0.257718602384303,3.00252195137327,"Presomitic mesoderm"
"embryo1_Pos7_cell361_z2","embryo1",328,157,"embryo1_Pos7_cell361_z2","embryo1","Pos7",2,1670.12535295759,1418.5731766183,2.41560423858648,-0.6115260021027,"embryo1_Pos7","embryo1_Pos7_2",11200,3.33466304504478,-0.446948917313097,"Surface ectoderm"
"embryo1_Pos7_cell362_z2","embryo1",298,129,"embryo1_Pos7_cell362_z2","embryo1","Pos7",2,1670.19348576821,1393.57907480172,2.41780207118705,-1.41778735102464,"embryo1_Pos7","embryo1_Pos7_2",9488,-0.00235610683042098,3.50060089139927,"Presomitic mesoderm"
"embryo1_Pos7_cell363_z2","embryo1",226,127,"embryo1_Pos7_cell363_z2","embryo1","Pos7",2,1669.77415815606,1420.05164897873,2.40427537402108,-0.563833345314833,"embryo1_Pos7","embryo1_Pos7_2",5312,3.28334713698058,-0.205274166723685,"Surface ectoderm"
